NOM DE LA PHARMACIE,QUARTIER / ZONE,ADRESSE / LOCALISATION,NUMÉRO DE TÉLÉPHONE
Pharmacie Pasteur,Plateau,"Av Pasteur, Plateau",+221 33 821 70 35
Pharmacie Anna Kadet,Plateau,"En face Hopital Le Dantec, Corniche Est",+221 33 849 50 90
Pharmacie Cheikh Ahmadou Bamba,Plateau,"95 Avenue Place 116, Plateau",+221 33 848 35 75
Pharmacie Du Plateau,Plateau,"70, Rue Carnot x Lamine Gueye",+221 33 821 10 68
Pharmacie Lamine Guèye,Plateau,"22, Ave. Pdt Lamine Gueye",+221 33 822 36 76
Pharmacie Wagane Diouf,Plateau,rue Wagane Diouf X Abdou K. Bourgi,+221 33 842 92 32
Pharmacie Guigon,Plateau,"101, Ave. Lamine Guèye",+221 33 823 03 33
Pharmacie Abdoul Birane Wane,Plateau,N°27 Av. L. Guèye x rue Laperine,+221 33 823 96 16
Pharmacie Africaine,Plateau,"33, Av Lamine Guèye X A. Goux",+221 33 823 44 68
Pharmacie Allées Canard,Plateau,"N° 7, Allées Robert Delmas",+221 33 823 57 65
Pharmacie Avicennes,Plateau,"Av. Faidherbe X 16bis, rue Moussé Diop",+221 33 823 54 93
Pharmacie Boisson,Plateau,"3, Rue Parent",+221 33 821 17 14
Pharmacie Co.Pha.Se.,Plateau,Av Félix Eboué,+221 33 849 32 90
Pharmacie Dardanelles,Plateau,Rue des Dardanelles,+221 33 821 15 20
Pharmacie de l'Islam,Plateau,"42, ave. Emile Badiane",+221 33 821 05 66
Pharmacie de la Mosquée,Plateau,"24, Rue Mohamed V",+221 33 822 88 01
Pharmacie de la Poste,Plateau,Blaise Diagne x Rue 1,+221 33 823 89 70
Pharmacie Drugstore,Plateau,"60, Ave. G. Pompidou",+221 33 822 22 27
Pharmacie du Cap Vert,Plateau,"139, Ave. Pdt Lamine Gueye",+221 33 821 74 06
Pharmacie du Port,Plateau,Bvld de l'Arsenal,+221 33 821 83 99
Pharmacie du Théâtre,Plateau,"Imm. Sorano, Blvd. de la République",+221 33 822 56 66
Pharmacie Fahd,Plateau,"12, blvd. Djily Mbaye",+221 33 821 14 48
Pharmacie Faidherbe,Plateau,Ave. Faidherbe x Tolbiac,+221 33 821 08 39
Pharmacie Fatima,Plateau,"9, Ave. Pétersen x Escarfait",+221 33 842 87 88
Pharmacie Gallieni,Plateau,Ave. Brière de l'Isle x Rue Gallieni,+221 33 842 69 00
Pharmacie Gambetta,Plateau,"114, Av. Pdt Lamine Guèye",+221 33 821 08 18
Pharmacie Gorom,Plateau,Av. J. Jaurès X rue A. A. Ndoye,+221 33 842 54 64
Pharmacie Guet,Plateau,Rue Huart X rue Parchappe,+221 33 822 73 72
Pharmacie Kermel,Plateau,"1, Place Kermel",+221 33 822 43 34
Pharmacie Lat Dior,Plateau,"Allées Papa G. Fall, Face Gde Mosquée",+221 33 822 41 74
Pharmacie Nation,Plateau,"153, Ave. Pdt Lamine Gueye",+221 33 823 44 01
Pharmacie Nelson Mandela,Plateau,"12, Avenue Nelson Mandela",+221 33 821 21 72
Pharmacie Ngorba,Plateau,rue Vincens x rue Amadou L. Ndoye,+221 33 823 23 30
Pharmacie Ponty,Plateau,"9, rue de Thiong x W. Diouf",+221 33 822 47 78
Pharmacie République,Plateau,"15, blvd. de la République",+221 33 821 16 63
Pharmacie Rolland,Plateau,"37, rue Abdou Karim Bourgi",+221 33 821 78 10
Pharmacie Rond Point,Plateau,"55, ave. Albert Sarraut",+221 33 822 55 07
Pharmacie Sainte Anne,Plateau,Rue Ambroise Mendy X Mangin,+221 33 842 88 17
Pharmacie Sandaga,Plateau,"15, ave. J. Jaurès X Ave. A. Peytavin",+221 33 822 88 83
Pharmacie Téranga,Plateau,"68, rue Dr Théze X F. Faure",+221 33 822 13 17
Pharmacie Vital,Plateau,"36, rue M. Diop X Grasland",+221 33 821 08 89
Pharmacie Aimé Césaire,Fann Point-E,"Rue FN 20, Fann",+221 33 825 44 23
Pharmacie Point-E,Fann Point-E,"Boulevard de l'est, Point-E",Non disponible
Pharmacie Résidence Serigne Malick Diéye,Fann Point-E,Point-E à la rue Axrue 3 et 4,Non disponible
Pharmacie Birago Diop,Fann Point-E,"Avenue Birago Diop, Point-E",Non disponible
Pharmacie Fann-Hock,Fann Point-E,"Rue 55 x 70, Fann-Hock",Non disponible
Pharmacie Signara,Fann Point-E,"Km 4,5 avenue Cheikh Anta Diop",Non disponible
Pharmacie Keur Jaraff,Fann Point-E,Allées Seydou Nourou Tall,Non disponible
Pharmacie Besse,Fann Point-E,Av. Bourguiba face Ecole de Police,Non disponible
Pharmacie Selma,Fann Point-E,Amitié III n° 4418,+221 33 864 73 10
Pharmacie Ndoss,Fann Point-E,"Avenue Cheikh Anta, Point-E",Non disponible
Pharmacie Sedami,Fann Point-E,"Amitié III, VDN",Non disponible
Pharmacie le Parcours,Fann Point-E,"Sicap Amitié I, villa n°3037",Non disponible
Pharmacie Demba Koita,Mermoz,"Immeuble Helysee, 1 Rue MZ 83",+221 33 825 79 79
Pharmacie Sonatel 1,Grand Yoff,Derrière l'hôpital SAMU,+221 33 827 21 22
Pharmacie Mignel,Grand Yoff,Marché Grand Yoff,+221 33 827 54 76
Pharmacie Incha Allah,Grand Dakar,"Rue 11, Grand-Dakar",Non disponible
Pharmacie des Allees,Grand Dakar,Zone B,Non disponible
Pharmacie Borom Daradji,Grand Dakar,"143, Grand-Dakar",Non disponible
Pharmacie Mame Fatou BA,Grand Dakar,"Zone A, Bd Général De Gaulle",Non disponible
Pharmacie Dabakh Malick GD,Grand Dakar,Rue Abébé bikila n°308,Non disponible
Pharmacie CAP-SANTE,Grand Dakar,"Grand-Dakar, rue CL FayeXGD 35, Zone A",Non disponible
Pharmacie Darabis,Grand Dakar,Sicap Darabis,Non disponible
Pharmacie de L'EMMANUEL,Grand Dakar,"Grand Dakar, parcelle n°370",+221 33 864 44 03
Pharmacie Masaalikul Jinaan,Grand Dakar,"Cerf volant, Grand Dakar",Non disponible
